,Entity,Code,emission_type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
41,Fiji,FJI,gas,0.0,0.0,0.0,3664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Finland,FIN,gas,8351542.0,8572555.0,7683480.0,8470317.0,7432586.0,6608715.0,6210299.0,5545309.0,4866065.0,4353122.0,4024261.0
43,France,FRA,gas,92593563.0,94923321.0,93065561.0,98308289.0,86314919.0,88761770.0,90443489.0,75768316.0,81495063.0,89137261.0,89909221.0
44,Gabon,GAB,gas,311440.0,348080.0,462063.0,619216.0,696160.0,714480.0,703488.0,1019294.0,1018592.0,1022256.0,754784.0
45,Gambia,GMB,gas,3664.0,3664.0,3700.0,3695.0,3664.0,3694.0,3695.0,3690.0,3690.0,3689.0,3664.0
46,Georgia,GEO,gas,3286608.0,2476864.0,2485668.0,2321613.0,3451488.0,3770256.0,3528432.0,4195280.0,4614726.0,4327184.0,4484736.0
47,Germany,DEU,gas,174433997.0,179787212.0,167529858.0,183880290.0,168506351.0,167997128.0,170558615.0,152219063.0,157520204.0,169473246.0,172391255.0
48,Ghana,GHA,gas,0.0,0.0,10987.0,809744.0,1583362.0,802416.0,600896.0,1278736.0,2440224.0,1417654.0,2359616.0
49,Greece,GRC,gas,7808080.0,8109119.0,6623295.0,7166043.0,8810981.0,8094044.0,7335771.0,5559040.0,6034755.0,7912128.0,9536062.0
50,Guatemala,GTM,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Hong Kong,HKG,gas,3850864.0,4572672.0,5173568.0,6477952.0,5268832.0,4884112.0,4755872.0,4646326.0,6082240.0,6236128.0,6217808.0
52,Hungary,HUN,gas,25245288.0,24886235.0,21650023.0,22933424.0,21926894.0,19568727.0,18441263.0,17220122.0,18178483.0,19378004.0,20517964.0
53,Iceland,ISL,gas,149.0,159.0,164.0,133.0,161.0,177.0,217.0,353.0,585.0,701.0,835.0
54,India,IND,gas,52695648.0,63046600.0,112684767.0,134244240.0,136364239.0,125604798.0,110689227.0,109467500.0,106870633.0,113622467.0,118922003.0
55,Indonesia,IDN,gas,57077792.0,60313104.0,64540826.0,73730036.0,81553312.0,80062064.0,64753293.0,62415688.0,94252054.0,91185376.0,84338539.0
56,Iran,IRN,gas,236520213.0,246874968.0,261063664.0,277221904.0,293264749.0,292273616.0,294933680.0,335006848.0,356768971.0,380704256.0,399504240.0
57,Iraq,IRQ,gas,12028197.0,15249568.0,16700512.0,14817216.0,13908544.0,13153760.0,13058204.0,12633192.0,12985503.0,14285936.0,16235184.0
58,Ireland,IRL,gas,10209742.0,10773546.0,10383762.0,11367257.0,9851409.0,9523750.0,9067279.0,8795884.0,8887966.0,9909930.0,10156520.0
59,Israel,ISR,gas,5089296.0,7016940.0,7822640.0,10079664.0,9343200.0,4814260.0,13136179.0,14400366.0,15759749.0,18023216.0,19759952.0
60,Italy,ITA,gas,162023623.0,165514723.0,152645448.0,163083780.0,151899736.0,146833515.0,136532088.0,120446043.0,131794052.0,139699283.0,147796225.0
61,Jamaica,JAM,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18320.0,201520.0
62,Japan,JPN,gas,209122344.0,204484663.0,202176743.0,213341562.0,247922677.0,257022425.0,256490809.0,258548469.0,246428641.0,251595944.0,245692546.0
63,Jordan,JOR,gas,5506056.0,6236128.0,7060528.0,5235856.0,1996880.0,1509337.0,1868640.0,619216.0,4004752.0,6979920.0,8031488.0
64,Kazakhstan,KAZ,gas,24973470.0,31137023.0,30999129.0,35477979.0,39972480.0,35277212.0,31962202.0,44463733.0,53290270.0,55388781.0,63500146.0
65,Kuwait,KWT,gas,25539329.0,26618960.0,24101792.0,28132192.0,32857357.0,34731056.0,34566176.0,34281763.0,39067054.0,41595226.0,42306021.0
66,Kyrgyzstan,KGZ,gas,1472928.0,1429653.0,622880.0,564256.0,637536.0,817072.0,626544.0,516624.0,523952.0,545936.0,578912.0
67,Latvia,LVA,gas,3146682.0,3084859.0,2827001.0,3392969.0,2975287.0,2792478.0,2728688.0,2448369.0,2505960.0,2607191.0,2299365.0
68,Lebanon,LBN,gas,0.0,0.0,95247.0,483648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Libya,LBY,gas,12106752.0,12575678.0,11234541.0,13196940.0,10167600.0,10709872.0,13271008.0,11104888.0,8394224.0,9533728.0,8412544.0
70,Liechtenstein,LIE,gas,70655.0,72827.0,57518.0,60561.0,53565.0,54500.0,57814.0,48059.0,51305.0,50975.0,53481.0
71,Lithuania,LTU,gas,6551531.0,5836171.0,4921129.0,5663373.0,6159967.0,5936893.0,4913358.0,4633849.0,4647208.0,4146815.0,4277118.0
